epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
40,5903,,,,0.7094375491142273,0.6641103625297546,0.5737548470497131
40,5903,0.7770097255706787,0.7525510191917419,0.6482275128364563,,,
41,6047,,,,0.7151658535003662,0.6773722171783447,0.5797250866889954
41,6047,0.775017499923706,0.7527517080307007,0.6468102335929871,,,
42,6191,,,,0.7182727456092834,0.678276002407074,0.5826404690742493
42,6191,0.7753872275352478,0.7525314092636108,0.6470138430595398,,,
43,6335,,,,0.7146453261375427,0.6746872067451477,0.5799664258956909
43,6335,0.7785308361053467,0.7534762620925903,0.6514207720756531,,,
44,6479,,,,0.7051108479499817,0.6651654839515686,0.5697323679924011
44,6479,0.7744948267936707,0.7523871660232544,0.6462109684944153,,,
45,6623,,,,0.6181159019470215,0.5983017086982727,0.4855193495750427
